\,NAME,NAICS2022,NAICS2022_LABEL,SEX,SEX_LABEL,ETH_GROUP,ETH_GROUP_LABEL,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP,VET_GROUP_LABEL,QDESC,QDESC_LABEL,BUSCHAR,BUSCHAR_LABEL,YEAR,FIRMPDEMP,FIRMPDEMP_PCT,RCPPDEMP,RCPPDEMP_PCT,EMP,EMP_PCT,PAYANN,PAYANN_PCT,FIRMPDEMP_S,FIRMPDEMP_PCT_S,RCPPDEMP_S,RCPPDEMP_PCT_S,EMP_S,EMP_PCT_S,PAYANN_S,PAYANN_PCT_S
Geographic identifier code,Geographic Area Name,2022 NAICS code,Meaning of NAICS code,Sex code,Meaning of Sex code,Ethnicity code,Meaning of Ethnicity code,Race code,Meaning of Race code,Veteran code,Meaning of Veteran code,Question description code,Meaning of Question description code,Business characteristic code,Meaning of Business characteristic code,Year,Number of employer firms,Percent of employer firms (%),"Sales, value of shipments, or revenue of employer firms ($1,000)","Percent of sales, value of shipments, or revenue of employer firms (%)",Number of employees,Percent of employees (%),"Annual payroll ($1,000)",Percent of annual payroll (%),Relative standard error of employer firms (%),Standard error of percent of employer firms (%),"Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Standard error of percent of sales, value of shipments, or revenue of employer firms (%)",Relative standard error of number of employees (%),Standard error of percent of employees (%),Relative standard error of annual payroll (%),Standard error of percent of annual payroll (%)
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPB2,26-50 Percent of employees worked from home less than one day per week,2022,13,3.1,250175,8,279,3.1,28799,7.9,62.1,2.6,5.8,6.9,8,3.4,5.7,14.9
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPB3,51-75 Percent of employees worked from home less than one day per week,2022,S,S,S,S,0 to 19 employees,S,S,S,S,S,S,S,S,S,S,S
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPB4,76-100 Percent of employees worked from home less than one day per week,2022,S,S,S,S,20 to 99 employees,S,S,S,S,S,S,S,S,S,S,S
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPC0,0 Percent of employees worked from home one day per week,2022,35,8.3,687174,22.1,1542,17.2,57897,15.9,37.9,5.4,2.1,16.9,5.1,15.2,9.1,10.6
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPC1,1-25 Percent of employees worked from home one day per week,2022,47,11.2,649291,20.8,1995,22.2,101996,28,7.8,3.6,0.1,6,0.8,6.7,1,8.3
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPC2,26-50 Percent of employees worked from home one day per week,2022,5,1.2,109670,3.5,210,2.3,13457,3.7,34.6,0.5,6.4,0.2,8,0.2,6.5,0.2
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPC3,51-75 Percent of employees worked from home one day per week,2022,S,S,S,S,20 to 99 employees,S,S,S,S,S,S,S,S,S,S,S
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPD0,0 Percent of employees worked two to four days per week,2022,5,1.2,358827,11.5,430,4.8,23469,6.4,20.6,0.2,5.4,0.5,5.3,0.2,5.4,0.3
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPD1,1-25 Percent of employees worked from home two to four days per week,2022,109,26,2013831,64.6,5617,62.5,220338,60.4,19.4,22.9,0.7,65.2,1.6,64.2,2.5,52.9
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B29,PERWHOME,EPD2,26-50 Percent of employees worked from home two to four days per week,2022,23,5.5,127583,4.1,624,6.9,25789,7.1,12.7,3.3,3.8,2.1,5.4,3.8,4.4,3.9
